Wavelength,Excitation,Emission
511,96.86134012,15.74467539
512,98.60208471,19.01666452
513,100,22.97591539
514,99.84929187,27.55853402
515,99.446612,32.55898855
516,96.75302583,38.16431186
517,93.40773119,44.29185284
518,88.92616463,50.86820175
519,83.20929687,57.69752653
520,77.15910639,64.48997004
521,70.78456092,70.68221126
522,64.27862572,76.33872399
523,57.61539402,81.3437998
524,50.65323856,86.473043
525,44.22332466,90.90558943
526,38.09970439,94.64974034
527,32.64109024,97.53499555
528,27.82529803,99.06958284
529,23.52733962,99.7749463
530,19.60969339,100
531,16.53678062,99.16630714
532,13.77216189,97.92557237
533,11.45161804,96.57456989
534,9.592130729,95.15843282
535,8.063024363,93.11989202
536,6.746567959,90.40647191
537,5.721110237,87.25999167
538,4.981568661,84.4483063
539,4.516407341,81.43401273
540,4.551978063,78.0275676
541,0,75.00319063
542,0,72.14044976
543,0,69.43540157
544,0,66.70554061
545,0,63.51310502
546,0,60.65213342
547,0,58.39042054
548,0,56.07103623
549,0,54.19353157
550,0,52.61213804
551,0,50.91080238
552,0,49.024416
553,0,47.52396752
554,0,45.97989555
555,0,44.69530892
556,0,43.87739119
557,0,42.84254623
558,0,42.21388661
559,0,41.39465631
560,0,40.45585092
561,0,39.88546192
562,0,38.92793386
563,0,38.17013929
564,0,37.58425228
565,0,36.97294131
566,0,36.28690479
567,0,35.59463529
568,0,34.7645053
569,0,34.01762598
570,0,33.11875226
571,0,32.24382765
572,0,31.33150984
573,0,30.3701828
574,0,29.5904586
575,0,28.70860725
576,0,28.12665337
577,0,27.2160662
578,0,26.36233548
579,0,25.51611292
580,0,24.66665366
581,0,23.81226829
582,0,22.9761018
583,0,22.1152429
584,0,21.12636951
585,0,20.40977883
586,0,19.59898863
587,0,18.9431791
588,0,18.26355379
589,0,17.63386738
590,0,16.92442927
591,0,16.2500999
592,0,15.61561846
593,0,15.02802404
594,0,14.55875737
595,0,13.91537627
596,0,13.53833063
597,0,13.10872467
598,0,12.58363373
599,0,12.14261527
600,0,11.70311053
601,0,11.29669995
602,0,10.87613332
603,0,10.52445691
604,0,10.13849822
605,0,9.817371944
606,0,9.548788776
