Wavelength,Excitation,Emission
516,90.47861672,0
517,90.85473601,0
518,91.33468272,0
519,91.61205576,0
520,92.45917456,0.735237481
521,93.52537648,0.718071206
522,93.62710974,0.706550842
523,94.09965453,0.68669432
524,94.92027013,0.716784794
525,95.25946682,0.74894544
526,95.92773558,0.856205798
527,96.73698266,0.941058184
528,97.57992219,1.049350207
529,97.91724359,1.158791195
530,97.87631943,1.373695021
531,98.10304146,1.522975656
532,98.3943419,1.728541347
533,99.36058371,1.925203218
534,99.25887552,2.14074005
535,100,2.431386601
536,99.74048875,2.702761434
537,99.21545509,3.007024901
538,99.41821079,3.488530486
539,99.45203389,4.020474739
540,99.41633126,4.493006551
541,99.11149599,5.034462139
542,98.0913759,5.702414519
543,97.63926981,6.366497202
544,96.79990405,7.045950107
545,96.39009748,7.846753951
546,95.27660587,8.625719521
547,94.00840955,9.455494029
548,93.41417715,10.36605319
549,92.30948092,11.27098947
550,90.9171123,12.253875
551,89.67657958,13.24641586
552,88.48225366,14.32685468
553,86.79500891,15.27465808
554,85.92045105,16.31070152
555,83.00365127,17.47139671
556,82.09315823,18.60737413
557,80.23781646,19.92142718
558,78.53730008,21.08646306
559,77.24395018,22.38474536
560,75.79727066,23.27117012
561,74.58416094,24.48025342
562,72.74248366,25.7334124
563,71.44083905,26.76078531
564,70.03703416,27.82242624
565,68.69575119,28.72270084
566,67.12907747,29.92413699
567,66.08263312,30.89592725
568,65.41188044,31.93853087
569,64.8003853,33.19022587
570,63.72107954,34.16381172
571,62.79852889,35.07875022
572,62.18230433,36.19478876
573,61.18375878,37.01758762
574,60.19452417,38.24449836
575,58.81499988,38.79514327
576,58.20579577,39.27921504
577,57.16500892,40.15718687
578,56.50909091,40.46414002
579,55.95455805,41.31178496
580,55.13379017,42.0769158
581,54.03332442,42.61401559
582,53.63009404,43.22632486
583,52.49127387,43.75020325
584,52.50349955,44.53673141
585,51.18987404,44.96846358
586,50.64986392,45.36574579
587,49.6594844,46.06559917
588,48.4334791,46.5401762
589,47.4453913,47.41362482
590,46.80814844,47.96226542
591,45.6854017,48.65950648
592,45.373398,49.41604338
593,43.93395889,49.96657492
