Wavelength,Excitation,Emission
525,61.05146985,0
526,61.29226447,0
527,61.56315842,0
528,62.02468145,0
529,62.49623758,0
530,63.09822414,0
531,63.75037624,0
532,64.76372028,0
533,66.31885221,0
534,68.4759707,0
535,70.68325474,0
536,72.39891642,0
537,73.47245912,0
538,74.29517407,0
539,75.08778971,0
540,75.99076954,0
541,77.2449082,0
542,79.12109963,0
543,81.12772148,0
544,83.55573392,3.071672355
545,86.71616334,4.09556314
546,89.97692385,4.165830155
547,91.8731815,5.18972094
548,92.57549915,6.273840594
549,93.56877696,7.277655089
550,95.43493529,8.893796426
551,97.63218621,9.315398514
552,99.1371526,11.84501104
553,99.80937092,14.7159205
554,100,15.87030717
555,99.86956958,17.92812688
556,99.60870874,21.58201164
557,99.03682151,23.29853443
558,98.63549714,26.50070267
559,96.99006722,29.56233688
560,93.04705528,33.79843405
561,87.09742149,37.3820518
562,82.8835156,41.12627986
563,81.54911207,46.61714515
564,81.23808568,50.96366192
565,79.54249022,54.98895804
566,76.19143172,59.54627585
567,71.79692987,65.68962056
568,66.97100431,69.03232283
569,62.38587338,73.75025095
570,57.7505769,77.3338687
571,53.17547908,82.895001
572,48.59034815,85.85625376
573,44.35637604,90.11242722
574,39.93177486,92.77253564
575,35.98876292,94.29833367
576,32.30661182,96.40634411
577,29.20638106,97.49046376
578,25.98575298,98.54446898
579,23.05608508,99.57839791
580,20.44747667,100
581,18.36058995,100
582,16.08307414,99.92973299
583,13.55473061,99.5984742
584,11.55814187,99.23710098
585,10.34413565,98.27343907
586,9.250526738,97.17928127
587,7.835858332,96.16542863
588,6.481388582,95.09134712
589,5.478077656,94.38867697
590,4.785793117,92.8528408
591,4.294170764,91.0459747
592,3.822614628,90.00200763
593,3.39119093,88.49628589
594,2.929667904,86.55892391
595,2.458111769,84.95282072
596,2.03672118,84.16984541
597,1.775860339,82.91507729
598,1.575198154,82.52358964
599,1.414668406,81.66030917
600,1.274204876,79.7229472
601,1.123708237,77.99638627
602,0.993277817,76.98253363
603,0.882913615,75.89841397
604,0.832748069,74.89459948
605,0.772549413,73.81047982
606,0.722383867,72.77655089
607,0.662185211,71.93334672
